Gene,Mean_Normalized_Counts,condition-cKOvsaFL.log2FC,condition-cKOvsaFL.FC,condition-cKOvsaFL.RawP,condition-cKOvsaFL.FDR,cKO_A2.stabilized,cKO_E1.stabilized,cKO_F1.stabilized,cKO_G1.stabilized,cKO_H1.stabilized,FL_A1.stabilized,FL_B1.stabilized,FL_C1.stabilized,FL_D1.stabilized,miR-15/16 seed-match location,AHC reads
Vpreb3,8.386801824,0.06983214,1.049594554,0.716980651,0.869842716,6.07369536,6.063346906,6.060086965,6.26424524,6.140576422,6.100601603,6.187317197,6.02223266,6.027133166,NA,NA
Vps11,1593.415484,0.110870965,1.079879971,0.204141787,0.469404979,10.62374761,10.86996127,10.6380297,10.87354444,10.79621018,10.73680946,10.66784482,10.65456545,10.54779169,NA,NA
Vps13a,1374.863383,0.026261623,1.018369858,NA,NA,10.92783002,10.32982694,10.31081335,10.72346659,10.22770456,10.45288808,10.83908931,10.79397717,9.580861038,Not_3UTR,7
Vps13b,1465.627395,0.159291141,1.116738301,0.314496645,0.590440968,11.00428795,10.54712851,10.6535444,10.77301154,10.3548615,10.40377622,10.67985963,10.83598053,9.883138291,Not_3UTR,0
Vps13c,635.0989741,0.078910399,1.056220025,0.686951903,0.852803161,9.893910839,9.492400073,9.399451699,9.608216502,9.31004372,9.05621799,9.899304547,9.858797525,8.318343119,Not_3UTR,22
Vps13d,1488.241148,0.214030835,1.159924446,0.138872386,0.385205884,10.91676698,10.67568223,10.59708033,10.82496478,10.58149585,10.34616286,10.69685164,10.79146784,9.956584668,3UTR,1
Vps16,3951.156957,-0.095526371,0.935930709,0.338172299,0.613137351,11.76121005,12.04134526,11.76188274,11.99875631,12.07818659,11.88619659,11.99998323,12.04522817,12.19292379,Not_3UTR,3
Vps18,623.9877504,-0.028074929,0.980728067,0.727539542,0.875428584,9.525480954,9.418418031,9.377554409,9.429517877,9.551161594,9.537759473,9.414110634,9.510887019,9.488898362,TS,0
Vps25,31.33032146,-0.428017116,0.743282674,0.022819852,0.150145131,6.506957037,6.614595564,6.529046345,6.320118395,6.682388533,6.592317481,6.708684261,6.883077799,6.966759417,NA,NA
Vps26a,1651.044849,-0.068570947,0.953582095,0.313048069,0.589022376,10.79290164,10.69989355,10.82775116,10.66402866,10.68025931,10.76412774,10.80736907,10.78811525,10.84598248,NA,NA
Vps26b,3335.745737,0.0271602,1.019004343,0.656983411,0.833486417,11.79028282,11.76759322,11.72911366,11.75031138,11.73151676,11.78152612,11.73814638,11.76535697,11.61630671,NA,NA
Vps29,2177.155273,-0.057493637,0.960932076,0.484368535,0.727087426,11.06316374,11.09755466,11.214797,11.12183174,11.09800998,11.13489111,11.07437376,11.11949062,11.36511669,NA,NA
Vps33a,1871.718192,-0.045656151,0.968849075,0.527721967,0.754363964,10.89438282,10.90894032,10.91589106,10.89607764,10.96774914,11.09107923,10.98315388,10.9164835,10.84598248,Not_3UTR,3
Vps33b,969.5375048,0.490232039,1.404670781,1.52e-5,9.13318e-4,10.23890405,10.19996001,10.28172911,10.38068039,10.11382973,9.840739826,9.773381751,9.924501934,9.415273807,TS,70
Vps35,4912.855882,0.114227516,1.082395327,0.219311944,0.486009848,12.39757271,12.31085626,12.49203346,12.35917097,12.11514547,12.27642583,12.27025676,12.27503764,12.04882371,Not_3UTR,14
Vps36,3370.366104,-0.085542747,0.942429924,0.188546098,0.451607422,11.68951548,11.72062166,11.69866335,11.7131755,11.76496314,11.80060652,11.72413314,11.75852435,11.92296697,NA,NA
Vps37a,944.8628683,0.149201042,1.108955167,0.143426118,0.392237122,10.19832902,9.996156846,10.12153017,10.16326982,9.877809667,9.959409439,10.05255835,9.950265071,9.732842426,3UTR,5
Vps37b,2230.846151,-0.083719796,0.943621506,0.512678657,0.7449973,11.35456004,11.14076186,11.35139385,10.86569195,10.90352096,11.47052086,11.04349772,11.10069943,11.26674207,NA,NA
Vps37c,495.2602822,0.168011992,1.123509242,0.056609702,0.245311678,9.289724587,9.193323677,9.228856064,9.207885529,9.322695988,9.208996055,8.967339165,9.086418143,9.120122063,TS,0
Vps37d,9.161681821,0.186543946,1.138034225,0.332640098,0.607643429,6.172567503,6.322764394,6.16934025,6.136705723,6.072965859,6.019900785,6.246676517,5.976399088,6.027133166,Not_3UTR,0
Vps39,2129.537206,0.049374728,1.034816332,0.471558036,0.718484124,11.10396674,11.14337894,11.15131222,11.15313057,11.13299284,11.11182347,11.16688355,11.11949062,10.94360783,NA,NA
Vps41,1884.929805,0.018112779,1.012633964,0.843242782,0.933017285,10.89860642,10.95659887,11.01387136,10.9922504,10.9104914,10.92177431,11.108416,10.986159,10.69914322,Not_3UTR,0
